id,department_id,position_id,name,surname,salary,phone,start_date,end_date
1,10,7,Ethel,Kelleher,6000,503-541-8512,2021-8-26 00:00:00,
2,8,1,Cinthia,Foulger,2000,712-843-5995,1980-10-22 00:00:00,
3,9,7,Linda,Long,2000,688-113-2570,2005-10-2 00:00:00,
4,3,2,Andrew,Watson,15000,574-745-9688,2010-4-25 00:00:00,
5,10,3,Ralph,Mercado,15000,397-620-7439,2016-4-7 00:00:00,
6,12,1,Yu,Meza,3750,795-543-6682,2019-7-21 00:00:00,
7,19,7,Chad,Farmer,13000,596-767-2717,1995-2-10 00:00:00,
8,1,5,Bryce,Mackay,12000,787-086-2847,2010-6-14 00:00:00,
9,9,8,John,Rodriguez,2000,290-388-7382,1997-10-16 00:00:00,
10,5,8,Louise,Stuemke,13000,211-276-7013,2006-2-11 00:00:00,
11,20,1,James,Redding,8750,210-548-3207,2000-8-15 00:00:00,
12,19,6,Guadalupe,Hulsey,13000,626-437-4119,2013-5-6 00:00:00,
13,6,2,John,Branch,5000,162-743-2679,1993-3-16 00:00:00,
14,18,1,Kenneth,Parkhurst,6000,437-247-6690,1984-10-21 00:00:00,
15,16,6,Donnie,Mcmullin,8750,149-001-4539,1992-5-18 00:00:00,
16,7,7,Ryan,Farwell,7000,171-046-7984,1984-12-3 00:00:00,
17,16,2,Michael,Herndon,10000,585-288-4390,1986-3-6 00:00:00,
18,5,3,Woodrow,Valenzuela,13000,888-557-1868,1995-8-10 00:00:00,
19,10,1,Manuel,Moore,5000,445-655-6237,2017-10-4 00:00:00,
20,17,4,Eugene,Burmeister,3000,621-051-8892,2006-3-19 00:00:00,
21,2,6,Jane,Norris,10000,837-634-7243,1980-9-15 00:00:00,
22,12,1,Kimberly,Dunkel,13000,675-054-7431,1991-2-18 00:00:00,
23,6,8,Albert,Isreal,11250,865-278-2588,2013-6-9 00:00:00,
24,1,7,Roy,Fehlinger,11250,936-718-0758,2015-11-26 00:00:00,
25,16,4,Donna,Harris,5000,374-615-3850,1984-4-26 00:00:00,
26,11,7,Linwood,Zevallos,3750,246-148-2367,2002-5-1 00:00:00,
27,4,4,William,Shubert,3750,983-776-6957,1980-5-18 00:00:00,
28,16,8,David,Petree,7000,268-064-1263,2005-5-14 00:00:00,
29,3,5,Roger,Foote,13000,658-161-8416,2011-4-20 00:00:00,
30,1,2,Clifford,Mceuen,12500,172-811-3133,1989-7-26 00:00:00,
31,5,2,Sue,Scott,10000,841-347-1888,1985-8-6 00:00:00,
32,11,6,Babette,Massey,8000,895-543-3779,2013-4-28 00:00:00,
33,14,5,Veronica,Inguardsen,10000,393-670-8628,1987-6-11 00:00:00,
34,13,7,Daniel,Lindley,9000,577-015-9788,1984-6-2 00:00:00,
35,19,1,Christina,Wooten,17500,100-187-8190,2015-11-18 00:00:00,
36,12,5,Nancy,Putman,4000,508-283-1043,2012-11-14 00:00:00,
37,3,7,George,Bishop,3000,974-865-3148,1988-6-20 00:00:00,
38,19,2,Marie,Walker,10000,301-647-1152,2014-8-5 00:00:00,
39,14,5,Robert,Zimmerman,5000,988-543-9746,1990-12-3 00:00:00,
40,18,8,Clara,Rehberg,10000,280-455-3667,1987-11-7 00:00:00,
41,16,2,Alejandra,Gary,3750,391-201-2134,2014-6-3 00:00:00,
42,9,8,John,Brenner,9000,436-514-9637,2001-7-6 00:00:00,
43,14,4,Paul,Pierce,9000,338-766-4047,1999-11-23 00:00:00,
44,2,2,Evelyn,Hosford,12500,124-428-1899,2004-9-10 00:00:00,
45,12,8,Nancy,Hill,13750,480-287-7925,2015-8-18 00:00:00,
46,10,4,Michael,Killough,4000,712-822-6301,1993-7-22 00:00:00,
47,6,8,Reginald,Soto,14000,347-640-0807,1987-1-23 00:00:00,
48,8,7,Gary,Malone,5000,282-571-4087,2018-4-6 00:00:00,
49,2,4,Sonya,Daley,7000,271-401-2414,1984-3-27 00:00:00,
50,14,8,Joanne,Gilbert,5000,756-377-8769,1993-10-28 00:00:00,
51,9,2,Mel,Walker,7500,760-221-9320,1997-7-3 00:00:00,
52,1,4,Rogelio,James,13750,938-508-6255,2007-1-10 00:00:00,
53,14,7,Linda,Dangelo,8000,171-642-1031,1984-7-4 00:00:00,
54,9,1,William,Wickes,10000,678-313-9347,1982-4-12 00:00:00,
55,7,6,Sergio,Sandahl,17500,550-731-8396,2002-12-12 00:00:00,
56,1,1,Gene,Bernard,5000,845-242-7702,2011-5-17 00:00:00,
57,10,3,Cheryl,Wilson,3750,584-534-3608,2017-12-16 00:00:00,
58,16,1,Eunice,Bledsoe,12000,928-214-1442,2020-6-18 00:00:00,
59,5,8,Janet,Becker,16250,352-432-1811,2008-1-21 00:00:00,
60,1,6,Molly,Robey,6250,220-316-2489,2021-1-9 00:00:00,
61,7,2,Ralph,Kline,16250,302-288-2103,2004-5-26 00:00:00,
62,6,7,Keisha,Abreu,8750,775-841-2378,2013-2-22 00:00:00,
63,2,1,Edward,Morrison,12500,505-408-8565,1992-4-5 00:00:00,
64,12,7,Dorothy,Ohara,10000,281-871-2366,1985-4-20 00:00:00,
65,11,4,Dorothy,Duckett,11250,387-626-4291,1999-7-13 00:00:00,
66,12,5,Gary,Moore,14000,751-877-1731,2007-5-26 00:00:00,
67,10,2,David,Foley,6250,808-820-1873,2003-12-9 00:00:00,
68,17,3,Betty,Simons,7000,724-602-0159,2011-11-6 00:00:00,
69,20,8,Sara,Owens,11000,644-313-5839,2011-12-23 00:00:00,
70,19,1,Charles,Mercer,16250,414-801-0087,1997-8-9 00:00:00,
71,15,1,Nicholas,Weise,8750,753-626-0200,2018-8-12 00:00:00,
72,3,4,William,Petty,8000,602-840-2376,1996-10-3 00:00:00,
73,15,7,Donna,Boyle,7500,991-386-2508,1997-5-3 00:00:00,
74,5,3,Pete,Gunter,2000,808-580-1064,1986-6-25 00:00:00,
75,10,4,Gertrude,Marren,10000,876-020-5331,2003-7-20 00:00:00,
76,17,1,Leon,Flower,15000,425-658-9314,2007-10-9 00:00:00,
77,16,4,Roy,Skubis,15000,292-344-4074,1980-4-11 00:00:00,
78,20,2,Richard,Watkins,2000,379-125-4035,2000-12-17 00:00:00,
79,19,3,Barbara,Mayo,3750,168-712-0122,1980-2-18 00:00:00,
80,19,2,Jeremy,Werner,11250,512-448-4666,1994-2-17 00:00:00,
81,8,8,Alexander,Peters,3000,142-866-5289,2011-6-17 00:00:00,
82,7,4,Charles,Macdonald,6000,834-228-1589,2011-9-7 00:00:00,
83,6,8,Jorge,Mccumber,10000,213-500-3103,1989-6-21 00:00:00,
84,15,8,Ida,Montoya,4000,442-850-4539,2019-10-11 00:00:00,
85,13,2,Elizabeth,Herrera,12000,243-485-2294,2012-6-20 00:00:00,
86,20,1,Edward,Zimmerman,2500,160-214-0487,1980-7-20 00:00:00,
87,4,1,Laura,Hicks,11250,646-046-3547,1995-7-5 00:00:00,
88,16,8,Janet,Patton,6000,419-305-9239,1993-3-2 00:00:00,
89,10,6,Tamara,Emily,2500,561-603-8187,2001-9-17 00:00:00,
90,4,2,Christina,Rose,11000,343-143-2120,1999-9-21 00:00:00,
91,5,7,Barry,Dirienzo,3750,113-347-9209,1995-7-27 00:00:00,
92,17,6,William,Lamb,3000,889-522-4336,1996-4-14 00:00:00,
93,18,5,Doyle,Hellyer,5000,879-064-8406,1992-5-10 00:00:00,
94,6,1,Shawn,Elman,9000,910-104-2294,1994-10-12 00:00:00,
95,8,3,Sean,Kimsey,14000,491-732-2042,1994-7-27 00:00:00,
96,3,8,Ronald,Gallaher,6000,296-577-8842,2019-10-28 00:00:00,
97,5,7,Nicole,Bilbrey,4000,481-701-6213,2017-12-4 00:00:00,
98,20,8,Mary,Alva,4000,328-611-6903,1984-12-8 00:00:00,
99,20,5,Gail,Henson,7000,955-043-0338,2020-10-4 00:00:00,
100,18,2,Kathleen,Bickmore,15000,865-312-1673,2011-7-27 00:00:00,
